representation,repeat,outer_fold,source,layer,inner_fold,C,selected,tuning_scope,model_name,parameter,value,inner_score_roc_auc
tfidf,1,1,P,source_inner_cf,1.0,1.0,True,source_crossfit,,,,
tfidf,1,1,P,source_inner_cf,2.0,1.0,True,source_crossfit,,,,
tfidf,1,1,P,source_inner_cf,3.0,1.0,True,source_crossfit,,,,
tfidf,1,1,P,source_outer_full,0.0,1.0,True,source_crossfit,,,,
tfidf,1,1,I,source_inner_cf,1.0,1.0,True,source_crossfit,,,,
tfidf,1,1,I,source_inner_cf,2.0,1.0,True,source_crossfit,,,,
tfidf,1,1,I,source_inner_cf,3.0,1.0,True,source_crossfit,,,,
tfidf,1,1,I,source_outer_full,0.0,1.0,True,source_crossfit,,,,
tfidf,1,2,P,source_inner_cf,1.0,1.0,True,source_crossfit,,,,
tfidf,1,2,P,source_inner_cf,2.0,1.0,True,source_crossfit,,,,
tfidf,1,2,P,source_inner_cf,3.0,1.0,True,source_crossfit,,,,
tfidf,1,2,P,source_outer_full,0.0,1.0,True,source_crossfit,,,,
tfidf,1,2,I,source_inner_cf,1.0,1.0,True,source_crossfit,,,,
tfidf,1,2,I,source_inner_cf,2.0,1.0,True,source_crossfit,,,,
tfidf,1,2,I,source_inner_cf,3.0,1.0,True,source_crossfit,,,,
tfidf,1,2,I,source_outer_full,0.0,1.0,True,source_crossfit,,,,
tfidf,1,3,P,source_inner_cf,1.0,1.0,True,source_crossfit,,,,
tfidf,1,3,P,source_inner_cf,2.0,1.0,True,source_crossfit,,,,
tfidf,1,3,P,source_inner_cf,3.0,1.0,True,source_crossfit,,,,
tfidf,1,3,P,source_outer_full,0.0,1.0,True,source_crossfit,,,,
tfidf,1,3,I,source_inner_cf,1.0,1.0,True,source_crossfit,,,,
tfidf,1,3,I,source_inner_cf,2.0,1.0,True,source_crossfit,,,,
tfidf,1,3,I,source_inner_cf,3.0,1.0,True,source_crossfit,,,,
tfidf,1,3,I,source_outer_full,0.0,1.0,True,source_crossfit,,,,
tfidf,1,4,P,source_inner_cf,1.0,1.0,True,source_crossfit,,,,
tfidf,1,4,P,source_inner_cf,2.0,1.0,True,source_crossfit,,,,
tfidf,1,4,P,source_inner_cf,3.0,1.0,True,source_crossfit,,,,
tfidf,1,4,P,source_outer_full,0.0,1.0,True,source_crossfit,,,,
tfidf,1,4,I,source_inner_cf,1.0,1.0,True,source_crossfit,,,,
tfidf,1,4,I,source_inner_cf,2.0,1.0,True,source_crossfit,,,,
tfidf,1,4,I,source_inner_cf,3.0,1.0,True,source_crossfit,,,,
tfidf,1,4,I,source_outer_full,0.0,1.0,True,source_crossfit,,,,
