model,input_condition,train_rows,test_rows,dropped_empty_rows,class_weight,notes,n,positive_n,negative_n,accuracy,precision,recall,sensitivity,specificity,f1,macro_f1,auc,mcc,tn,fp,fn,tp,evaluation,fold,cv_folds
mpnet_logistic_regression:sentence-transformers/all-mpnet-base-v2,full_dialogue,151,38,0,balanced,"5-fold CV SentenceTransformer embeddings, batch_size=8, device=cuda",38,8,30,0.6052631578947368,0.23076923076923078,0.375,0.375,0.6666666666666666,0.2857142857142857,0.5064935064935066,0.475,0.03580574370197164,20,10,5,3,cv,1,5
mpnet_logistic_regression:sentence-transformers/all-mpnet-base-v2,full_dialogue,151,38,0,balanced,"5-fold CV SentenceTransformer embeddings, batch_size=8, device=cuda",38,8,30,0.7368421052631579,0.4166666666666667,0.625,0.625,0.7666666666666667,0.5,0.6607142857142857,0.7583333333333333,0.3435143908952531,23,7,3,5,cv,2,5
mpnet_logistic_regression:sentence-transformers/all-mpnet-base-v2,full_dialogue,151,38,0,balanced,"5-fold CV SentenceTransformer embeddings, batch_size=8, device=cuda",38,9,29,0.7105263157894737,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.7241379310344828,0.5217391304347826,0.6570959803117309,0.7164750957854407,0.3444373818510708,21,8,3,6,cv,3,5
mpnet_logistic_regression:sentence-transformers/all-mpnet-base-v2,full_dialogue,151,38,0,balanced,"5-fold CV SentenceTransformer embeddings, batch_size=8, device=cuda",38,9,29,0.6842105263157895,0.36363636363636365,0.4444444444444444,0.4444444444444444,0.7586206896551724,0.4,0.5928571428571429,0.5325670498084292,0.1903607430181528,22,7,5,4,cv,4,5
mpnet_logistic_regression:sentence-transformers/all-mpnet-base-v2,full_dialogue,152,37,0,balanced,"5-fold CV SentenceTransformer embeddings, batch_size=8, device=cuda",37,8,29,0.6756756756756757,0.3,0.375,0.375,0.7586206896551724,0.3333333333333333,0.5595238095238095,0.6379310344827587,0.12386135288372424,22,7,5,3,cv,5,5
mpnet_logistic_regression:sentence-transformers/all-mpnet-base-v2,interviewer_cleaned,148,38,3,balanced,"5-fold CV SentenceTransformer embeddings, batch_size=8, device=cuda",38,9,29,0.631578947368421,0.35294117647058826,0.6666666666666666,0.6666666666666666,0.6206896551724138,0.46153846153846156,0.5907692307692307,0.6743295019157087,0.2457009873327281,18,11,3,6,cv,1,5
mpnet_logistic_regression:sentence-transformers/all-mpnet-base-v2,interviewer_cleaned,149,37,3,balanced,"5-fold CV SentenceTransformer embeddings, batch_size=8, device=cuda",37,8,29,0.7297297297297297,0.4166666666666667,0.625,0.625,0.7586206896551724,0.5,0.6574074074074074,0.6336206896551724,0.33735362939261204,22,7,3,5,cv,2,5
mpnet_logistic_regression:sentence-transformers/all-mpnet-base-v2,interviewer_cleaned,149,37,3,balanced,"5-fold CV SentenceTransformer embeddings, batch_size=8, device=cuda",37,8,29,0.6486486486486487,0.3333333333333333,0.625,0.625,0.6551724137931034,0.43478260869565216,0.5899403239556692,0.6896551724137931,0.2349158901481467,19,10,3,5,cv,3,5
mpnet_logistic_regression:sentence-transformers/all-mpnet-base-v2,interviewer_cleaned,149,37,3,balanced,"5-fold CV SentenceTransformer embeddings, batch_size=8, device=cuda",37,8,29,0.7027027027027027,0.38461538461538464,0.625,0.625,0.7241379310344828,0.47619047619047616,0.6343216531895777,0.728448275862069,0.3010673981840891,21,8,3,5,cv,4,5
mpnet_logistic_regression:sentence-transformers/all-mpnet-base-v2,interviewer_cleaned,149,37,3,balanced,"5-fold CV SentenceTransformer embeddings, batch_size=8, device=cuda",37,9,28,0.7297297297297297,0.45454545454545453,0.5555555555555556,0.5555555555555556,0.7857142857142857,0.5,0.6574074074074074,0.6587301587301587,0.3203429453251665,22,6,4,5,cv,5,5
mpnet_logistic_regression:sentence-transformers/all-mpnet-base-v2,interviewer_only,148,38,3,balanced,"5-fold CV SentenceTransformer embeddings, batch_size=8, device=cuda",38,9,29,0.6052631578947368,0.3125,0.5555555555555556,0.5555555555555556,0.6206896551724138,0.4,0.5529411764705883,0.7049808429118773,0.15176311997243838,18,11,4,5,cv,1,5
mpnet_logistic_regression:sentence-transformers/all-mpnet-base-v2,interviewer_only,149,37,3,balanced,"5-fold CV SentenceTransformer embeddings, batch_size=8, device=cuda",37,8,29,0.7567567567567568,0.45454545454545453,0.625,0.625,0.7931034482758621,0.5263157894736842,0.6813397129186602,0.6853448275862069,0.37656913890185145,23,6,3,5,cv,2,5
mpnet_logistic_regression:sentence-transformers/all-mpnet-base-v2,interviewer_only,149,37,3,balanced,"5-fold CV SentenceTransformer embeddings, batch_size=8, device=cuda",37,8,29,0.6216216216216216,0.2857142857142857,0.5,0.5,0.6551724137931034,0.36363636363636365,0.5472027972027972,0.7068965517241379,0.13171358556668117,19,10,4,4,cv,3,5
mpnet_logistic_regression:sentence-transformers/all-mpnet-base-v2,interviewer_only,149,37,3,balanced,"5-fold CV SentenceTransformer embeddings, batch_size=8, device=cuda",37,8,29,0.6756756756756757,0.3,0.375,0.375,0.7586206896551724,0.3333333333333333,0.5595238095238095,0.7155172413793103,0.12386135288372424,22,7,5,3,cv,4,5
