pid,path,bytes,sha256
300,F:\数据库\E-daic\DAIC-WOZ_original_transcripts\300_TRANSCRIPT.csv,8655,5a9f3498dc53e8b6ac3e2969ea84112491f1fff52de65e6ce81c4c1ae3792df7
301,F:\数据库\E-daic\DAIC-WOZ_original_transcripts\301_TRANSCRIPT.csv,13990,40aa76859704cd62986ce404a49fd74fdd1cfede02030288e6ad06dba8c3e7b0
302,F:\数据库\E-daic\DAIC-WOZ_original_transcripts\302_TRANSCRIPT.csv,9993,01519f79b6f72f3e656ca6aea33b5633d5e869c08c9a36cc410b3006c403c053
303,F:\数据库\E-daic\DAIC-WOZ_original_transcripts\303_TRANSCRIPT.csv,17049,f669e6dca829dfe0c0cda36df5106f98ce04b5b4e76681fb0689c0592c72689e
304,F:\数据库\E-daic\DAIC-WOZ_original_transcripts\304_TRANSCRIPT.csv,12476,23586c93273c1aab266373e6cd376f1879705fabf4b7a608bf7a802c2899d8b8
305,F:\数据库\E-daic\DAIC-WOZ_original_transcripts\305_TRANSCRIPT.csv,29769,2e8bd5e94f595d7b45a0c31deb260449d91baab112491934c618baf358c98e6f
306,F:\数据库\E-daic\DAIC-WOZ_original_transcripts\306_TRANSCRIPT.csv,16200,6b60985f8337ed52b0a4822551916478c60876a12d944a743e871428d34894bf
307,F:\数据库\E-daic\DAIC-WOZ_original_transcripts\307_TRANSCRIPT.csv,22763,2ec44150ac14e87e815a088077d2597e1ff8390e60a1be5adbaf66ad4600ceda
308,F:\数据库\E-daic\DAIC-WOZ_original_transcripts\308_TRANSCRIPT.csv,12456,e1c05fb19edd4069b9f86284cc0bafc1649fa30e7b1530b1cc60dc1db0ec9636
309,F:\数据库\E-daic\DAIC-WOZ_original_transcripts\309_TRANSCRIPT.csv,10343,14b1b4593904022194ee58409aab7184b372d28f046c01b1aa15b6e8245714f6
310,F:\数据库\E-daic\DAIC-WOZ_original_transcripts\310_TRANSCRIPT.csv,14421,30237bc98e10bae72ad31ea76544ce833777ebb635dd3674abec9924c9326e19
311,F:\数据库\E-daic\DAIC-WOZ_original_transcripts\311_TRANSCRIPT.csv,11762,5bfc230932958624af8ff4cbeab9cc0c7c6864df3108c7471ac368be87ba082e
312,F:\数据库\E-daic\DAIC-WOZ_original_transcripts\312_TRANSCRIPT.csv,13541,1f2dd0c708a1508a0136777143a7ccade8f28719a9f196f6be23154d8a13a7d7
313,F:\数据库\E-daic\DAIC-WOZ_original_transcripts\313_TRANSCRIPT.csv,10924,5131ba16120829fe3a5671c669d7e76709cd11b4986aec84319d3ee28c5ec04f
314,F:\数据库\E-daic\DAIC-WOZ_original_transcripts\314_TRANSCRIPT.csv,31740,de0e7c9214369fc75c8c8a4962b7534b02be760b0a7063f68cb5ea74c5730da2
