dataset,section,filename,url,size_text,expected_bytes,status,local_path,local_bytes,note
eDAIC,root,E-DAIC Manual.pdf,https://dcapswoz.ict.usc.edu/wwwedaic/E-DAIC%20Manual.pdf,,,missing,,,not found as archive or extracted participant directory
eDAIC,root,labels2019.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/labels2019.tar.gz,,,missing,,,not found as archive or extracted participant directory
eDAIC,root,metadata_mapped.csv,https://dcapswoz.ict.usc.edu/wwwedaic/metadata_mapped.csv,,,present_file,F:\数据库\E-daic\labels\metadata_mapped.csv,7459,"found, size not checked"
eDAIC,root,robots.txt,https://dcapswoz.ict.usc.edu/wwwedaic/robots.txt,,,missing,,,not found as archive or extracted participant directory
eDAIC,data,300_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/300_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\300_P.tar.gz,279811302,"found, size not checked"
eDAIC,data,301_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/301_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\301_P.tar.gz,375180756,"found, size not checked"
eDAIC,data,302_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/302_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\302_P.tar.gz,306492754,"found, size not checked"
eDAIC,data,303_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/303_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\303_P.tar.gz,410473659,"found, size not checked"
eDAIC,data,304_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/304_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\304_P.tar.gz,354185717,"found, size not checked"
eDAIC,data,305_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/305_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\305_P.tar.gz,745599219,"found, size not checked"
eDAIC,data,306_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/306_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\306_P.tar.gz,351295413,"found, size not checked"
eDAIC,data,307_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/307_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\307_P.tar.gz,557307456,"found, size not checked"
eDAIC,data,308_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/308_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\308_P.tar.gz,388852775,"found, size not checked"
eDAIC,data,309_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/309_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\309_P.tar.gz,313544411,"found, size not checked"
eDAIC,data,310_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/310_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\310_P.tar.gz,296179113,"found, size not checked"
eDAIC,data,311_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/311_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\311_P.tar.gz,357424137,"found, size not checked"
eDAIC,data,312_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/312_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\312_P.tar.gz,353381693,"found, size not checked"
eDAIC,data,313_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/313_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\313_P.tar.gz,316985384,"found, size not checked"
eDAIC,data,314_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/314_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\314_P.tar.gz,694574862,"found, size not checked"
eDAIC,data,315_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/315_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\315_P.tar.gz,376357879,"found, size not checked"
eDAIC,data,316_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/316_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\316_P.tar.gz,387632374,"found, size not checked"
eDAIC,data,317_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/317_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\317_P.tar.gz,361791240,"found, size not checked"
eDAIC,data,318_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/318_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\318_P.tar.gz,256192728,"found, size not checked"
eDAIC,data,319_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/319_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\319_P.tar.gz,243758337,"found, size not checked"
eDAIC,data,320_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/320_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\320_P.tar.gz,353296001,"found, size not checked"
eDAIC,data,321_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/321_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\321_P.tar.gz,364738320,"found, size not checked"
eDAIC,data,322_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/322_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\322_P.tar.gz,400962223,"found, size not checked"
eDAIC,data,323_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/323_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\323_P.tar.gz,357728162,"found, size not checked"
eDAIC,data,324_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/324_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\324_P.tar.gz,307915298,"found, size not checked"
eDAIC,data,325_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/325_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\325_P.tar.gz,395406353,"found, size not checked"
eDAIC,data,326_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/326_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\326_P.tar.gz,254794622,"found, size not checked"
eDAIC,data,327_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/327_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\327_P.tar.gz,306996549,"found, size not checked"
eDAIC,data,328_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/328_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\328_P.tar.gz,397558808,"found, size not checked"
eDAIC,data,329_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/329_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\329_P.tar.gz,307023851,"found, size not checked"
eDAIC,data,330_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/330_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\330_P.tar.gz,319650683,"found, size not checked"
eDAIC,data,331_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/331_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\331_P.tar.gz,384927274,"found, size not checked"
eDAIC,data,332_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/332_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\332_P.tar.gz,391285866,"found, size not checked"
eDAIC,data,333_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/333_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\333_P.tar.gz,431319143,"found, size not checked"
eDAIC,data,334_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/334_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\334_P.tar.gz,416510750,"found, size not checked"
eDAIC,data,335_P.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/data/335_P.tar.gz,,,present_file,F:\数据库\E-daic\E-daic\data\335_P.tar.gz,352169202,"found, size not checked"
