dataset,filename,url,dest,expected_bytes,dest_bytes,part_bytes,complete
eDAIC,E-DAIC Manual.pdf,https://dcapswoz.ict.usc.edu/wwwedaic/E-DAIC%20Manual.pdf,F:\数据库\E-daic\E-DAIC Manual.pdf,40775,40775,0,True
eDAIC,labels2019.tar.gz,https://dcapswoz.ict.usc.edu/wwwedaic/labels2019.tar.gz,F:\数据库\E-daic\labels2019.tar.gz,3271,3271,0,True
eDAIC,robots.txt,https://dcapswoz.ict.usc.edu/wwwedaic/robots.txt,F:\数据库\E-daic\robots.txt,26,26,0,True
DAIC-WOZ,300_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/300_P.zip,F:\数据库\DAIC-WOZ\300_P.zip,343123649,0,100663296,False
DAIC-WOZ,301_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/301_P.zip,F:\数据库\DAIC-WOZ\301_P.zip,423065622,0,0,False
DAIC-WOZ,302_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/302_P.zip,F:\数据库\DAIC-WOZ\302_P.zip,488862236,0,0,False
DAIC-WOZ,303_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/303_P.zip,F:\数据库\DAIC-WOZ\303_P.zip,513799834,0,0,False
DAIC-WOZ,304_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/304_P.zip,F:\数据库\DAIC-WOZ\304_P.zip,395281886,0,0,False
DAIC-WOZ,305_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/305_P.zip,F:\数据库\DAIC-WOZ\305_P.zip,900889237,0,0,False
DAIC-WOZ,306_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/306_P.zip,F:\数据库\DAIC-WOZ\306_P.zip,436769227,0,0,False
DAIC-WOZ,307_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/307_P.zip,F:\数据库\DAIC-WOZ\307_P.zip,646371351,0,0,False
DAIC-WOZ,308_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/308_P.zip,F:\数据库\DAIC-WOZ\308_P.zip,446700563,0,0,False
DAIC-WOZ,309_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/309_P.zip,F:\数据库\DAIC-WOZ\309_P.zip,362548522,0,0,False
DAIC-WOZ,310_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/310_P.zip,F:\数据库\DAIC-WOZ\310_P.zip,426224885,0,0,False
DAIC-WOZ,311_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/311_P.zip,F:\数据库\DAIC-WOZ\311_P.zip,417901581,0,0,False
DAIC-WOZ,312_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/312_P.zip,F:\数据库\DAIC-WOZ\312_P.zip,412171104,0,0,False
DAIC-WOZ,313_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/313_P.zip,F:\数据库\DAIC-WOZ\313_P.zip,380052510,0,0,False
DAIC-WOZ,314_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/314_P.zip,F:\数据库\DAIC-WOZ\314_P.zip,801690724,0,0,False
DAIC-WOZ,315_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/315_P.zip,F:\数据库\DAIC-WOZ\315_P.zip,512206588,0,0,False
DAIC-WOZ,316_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/316_P.zip,F:\数据库\DAIC-WOZ\316_P.zip,452956146,0,0,False
DAIC-WOZ,317_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/317_P.zip,F:\数据库\DAIC-WOZ\317_P.zip,420465859,0,0,False
DAIC-WOZ,318_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/318_P.zip,F:\数据库\DAIC-WOZ\318_P.zip,301419193,0,0,False
DAIC-WOZ,319_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/319_P.zip,F:\数据库\DAIC-WOZ\319_P.zip,325498059,0,0,False
DAIC-WOZ,320_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/320_P.zip,F:\数据库\DAIC-WOZ\320_P.zip,426286831,0,0,False
DAIC-WOZ,321_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/321_P.zip,F:\数据库\DAIC-WOZ\321_P.zip,433095401,0,0,False
DAIC-WOZ,322_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/322_P.zip,F:\数据库\DAIC-WOZ\322_P.zip,534591787,0,0,False
DAIC-WOZ,323_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/323_P.zip,F:\数据库\DAIC-WOZ\323_P.zip,415725380,0,0,False
DAIC-WOZ,324_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/324_P.zip,F:\数据库\DAIC-WOZ\324_P.zip,366475671,0,0,False
DAIC-WOZ,325_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/325_P.zip,F:\数据库\DAIC-WOZ\325_P.zip,448842891,0,0,False
DAIC-WOZ,326_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/326_P.zip,F:\数据库\DAIC-WOZ\326_P.zip,350822840,0,0,False
DAIC-WOZ,327_P.zip,https://dcapswoz.ict.usc.edu/wwwdaicwoz/327_P.zip,F:\数据库\DAIC-WOZ\327_P.zip,343082651,0,0,False
