Characteristic,Overall,PHQ-8 < 10,PHQ-8 >= 10,P value
"Participants, n",189,147,42,
"Split: train, n (%)",143 (75.7%),111 (75.5%),32 (76.2%),1.0000
"Split: dev, n (%)",46 (24.3%),36 (24.5%),10 (23.8%),
"Age, mean +/- SD",38.99 +/- 12.44,38.74 +/- 12.72,39.86 +/- 11.51,0.5274
"Gender: female, n (%)",87 (46.0%),64 (43.5%),23 (54.8%),0.2663
"Gender: male, n (%)",102 (54.0%),83 (56.5%),19 (45.2%),
"PTSD positive, n (%)",56 (29.6%),20 (13.6%),36 (85.7%),<0.0001
"PHQ-8 score, mean +/- SD",6.75 +/- 5.92,4.26 +/- 3.68,15.45 +/- 3.58,<0.0001
"Total turns, mean +/- SD",250.79 +/- 77.47,249.33 +/- 75.97,255.93 +/- 83.27,0.9630
"Participant turns, mean +/- SD",171.43 +/- 75.07,171.10 +/- 73.08,172.60 +/- 82.59,0.7919
"Interviewer turns, mean +/- SD",79.36 +/- 17.63,78.22 +/- 18.51,83.33 +/- 13.57,0.0716
"Diagnostic interviewer turns, mean +/- SD",5.30 +/- 1.81,5.14 +/- 1.77,5.88 +/- 1.84,0.0281
"Participant words, mean +/- SD",1471.19 +/- 811.39,1496.97 +/- 806.31,1380.95 +/- 832.47,0.2456
"Interviewer words, mean +/- SD",544.88 +/- 113.27,543.02 +/- 113.94,551.38 +/- 112.01,0.4927
"Cleaned interviewer words, mean +/- SD",499.57 +/- 105.85,498.99 +/- 106.64,501.60 +/- 104.29,0.3756
