evaluation,model,model_short,input_condition,condition_label,fold,outer_folds,inner_folds,threshold_metric,threshold,train_or_oracle_metric_at_threshold,train_rows,test_rows,class_weight,n,positive_n,negative_n,accuracy,precision,recall,sensitivity,specificity,f1,macro_f1,auc,mcc,tn,fp,fn,tp
nested_threshold,tfidf_logistic_regression,TF-IDF + LR,full_dialogue,C1 Full dialogue,1,5,4,mcc,0.5068726105813149,0.4594942826167766,151,38,balanced,38,8,30,0.7631578947368421,0.3333333333333333,0.125,0.125,0.9333333333333333,0.18181818181818182,0.5216783216783217,0.7,0.08819171036881969,28,2,7,1
oracle_test_threshold,tfidf_logistic_regression,TF-IDF + LR,full_dialogue,C1 Full dialogue,1,5,,mcc,0.40722403923038525,0.46462136829144646,151,38,balanced,38,8,30,0.6578947368421053,0.38095238095238093,1.0,1.0,0.5666666666666667,0.5517241379310345,0.6375641966250918,0.7,0.46462136829144646,17,13,0,8
nested_threshold,tfidf_logistic_regression,TF-IDF + LR,full_dialogue,C1 Full dialogue,2,5,4,mcc,0.4330291410473645,0.4279399864237558,151,38,balanced,38,8,30,0.6842105263157895,0.3888888888888889,0.875,0.875,0.6333333333333333,0.5384615384615384,0.6492307692307693,0.8500000000000001,0.4150524286382607,19,11,1,7
oracle_test_threshold,tfidf_logistic_regression,TF-IDF + LR,full_dialogue,C1 Full dialogue,2,5,,mcc,0.458669703693553,0.5709223948597402,151,38,balanced,38,8,30,0.8421052631578947,0.6,0.75,0.75,0.8666666666666667,0.6666666666666666,0.7816091954022988,0.8500000000000001,0.5709223948597402,26,4,2,6
nested_threshold,tfidf_logistic_regression,TF-IDF + LR,full_dialogue,C1 Full dialogue,3,5,4,mcc,0.48032838276229084,0.4898835921601204,151,38,balanced,38,9,29,0.7894736842105263,0.5454545454545454,0.6666666666666666,0.6666666666666666,0.8275862068965517,0.6,0.7285714285714285,0.8582375478927203,0.4633308650819191,24,5,3,6
oracle_test_threshold,tfidf_logistic_regression,TF-IDF + LR,full_dialogue,C1 Full dialogue,3,5,,mcc,0.48968191820709644,0.5632183908045977,151,38,balanced,38,9,29,0.8421052631578947,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.896551724137931,0.6666666666666666,0.7816091954022988,0.8582375478927203,0.5632183908045977,26,3,3,6
nested_threshold,tfidf_logistic_regression,TF-IDF + LR,full_dialogue,C1 Full dialogue,4,5,4,mcc,0.4171499774769515,0.47277254472578045,151,38,balanced,38,9,29,0.6578947368421053,0.3888888888888889,0.7777777777777778,0.7777777777777778,0.6206896551724138,0.5185185185185185,0.6266061980347695,0.7777777777777778,0.3392827934973842,18,11,2,7
oracle_test_threshold,tfidf_logistic_regression,TF-IDF + LR,full_dialogue,C1 Full dialogue,4,5,,mcc,0.4997152356986697,0.5156102614533682,151,38,balanced,38,9,29,0.8421052631578947,0.8,0.4444444444444444,0.4444444444444444,0.9655172413793104,0.5714285714285714,0.7373271889400921,0.7777777777777778,0.5156102614533682,28,1,5,4
nested_threshold,tfidf_logistic_regression,TF-IDF + LR,full_dialogue,C1 Full dialogue,5,5,4,mcc,0.4137078132384474,0.38770679299028116,152,37,balanced,37,8,29,0.7567567567567568,0.47058823529411764,1.0,1.0,0.6896551724137931,0.64,0.7281632653061225,0.8275862068965518,0.5696872918958851,20,9,0,8
oracle_test_threshold,tfidf_logistic_regression,TF-IDF + LR,full_dialogue,C1 Full dialogue,5,5,,mcc,0.41371912149646645,0.5696872918958851,152,37,balanced,37,8,29,0.7567567567567568,0.47058823529411764,1.0,1.0,0.6896551724137931,0.64,0.7281632653061225,0.8275862068965518,0.5696872918958851,20,9,0,8
nested_threshold,tfidf_linear_svm,TF-IDF + SVM,full_dialogue,C1 Full dialogue,1,5,4,mcc,-0.20565742768874928,0.5305078250435777,151,38,balanced,38,8,30,0.7894736842105263,0.5,0.375,0.375,0.9,0.42857142857142855,0.6497695852534562,0.7208333333333333,0.30745934690622106,27,3,5,3
oracle_test_threshold,tfidf_linear_svm,TF-IDF + SVM,full_dialogue,C1 Full dialogue,1,5,,mcc,-0.4612492274044465,0.4403855060505443,151,38,balanced,38,8,30,0.631578947368421,0.36363636363636365,1.0,1.0,0.5333333333333333,0.5333333333333333,0.6144927536231883,0.7208333333333333,0.4403855060505443,16,14,0,8
nested_threshold,tfidf_linear_svm,TF-IDF + SVM,full_dialogue,C1 Full dialogue,2,5,4,mcc,-0.30789598242858496,0.5068482179264663,151,38,balanced,38,8,30,0.8157894736842105,0.5454545454545454,0.75,0.75,0.8333333333333334,0.631578947368421,0.7543859649122806,0.8541666666666667,0.5243776708047438,25,5,2,6
oracle_test_threshold,tfidf_linear_svm,TF-IDF + SVM,full_dialogue,C1 Full dialogue,2,5,,mcc,-0.22116576788281117,0.6233022919309994,151,38,balanced,38,8,30,0.868421052631579,0.6666666666666666,0.75,0.75,0.9,0.7058823529411765,0.810568295114656,0.8541666666666667,0.6233022919309994,27,3,2,6
nested_threshold,tfidf_linear_svm,TF-IDF + SVM,full_dialogue,C1 Full dialogue,3,5,4,mcc,-0.2031248450390876,0.5723500608515119,151,38,balanced,38,9,29,0.8421052631578947,0.6363636363636364,0.7777777777777778,0.7777777777777778,0.8620689655172413,0.7,0.7964285714285715,0.8773946360153256,0.5998159261138023,25,4,2,7
oracle_test_threshold,tfidf_linear_svm,TF-IDF + SVM,full_dialogue,C1 Full dialogue,3,5,,mcc,-0.28290569862376586,0.6420659992720072,151,38,balanced,38,9,29,0.8421052631578947,0.6153846153846154,0.8888888888888888,0.8888888888888888,0.8275862068965517,0.7272727272727273,0.8080808080808081,0.8773946360153256,0.6420659992720072,24,5,1,8
nested_threshold,tfidf_linear_svm,TF-IDF + SVM,full_dialogue,C1 Full dialogue,4,5,4,mcc,-0.38772033238546455,0.48977110813165126,151,38,balanced,38,9,29,0.7368421052631579,0.4666666666666667,0.7777777777777778,0.7777777777777778,0.7241379310344828,0.5833333333333334,0.6955128205128205,0.8084291187739464,0.4365575409204501,21,8,2,7
oracle_test_threshold,tfidf_linear_svm,TF-IDF + SVM,full_dialogue,C1 Full dialogue,4,5,,mcc,-0.22027408754234248,0.7088122605363985,151,38,balanced,38,9,29,0.8947368421052632,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.9310344827586207,0.7777777777777778,0.8544061302681992,0.8084291187739464,0.7088122605363985,27,2,2,7
