evaluation,model_short,input_condition,train_rows,test_rows,dropped_empty_rows,accuracy,precision,recall,specificity,f1,macro_f1,auc,mcc,tn,fp,fn,tp,class_weight,notes
,TF-IDF + LR balanced,full_dialogue,143,46,0,0.7608695652173914,0.4285714285714285,0.3,0.8888888888888888,0.3529411764705882,0.6031372549019608,0.6694444444444445,0.2169083839994366,32,4,7,3,balanced,"TF-IDF max_features=50000, min_df=2, ngram_range=(1, 2)"
,TF-IDF + LR balanced,interviewer_cleaned,142,44,3,0.6590909090909091,0.3076923076923077,0.4,0.7352941176470589,0.3478260869565217,0.5585284280936456,0.6852941176470588,0.124269871737878,25,9,6,4,balanced,"TF-IDF max_features=50000, min_df=2, ngram_range=(1, 2)"
,TF-IDF + LR balanced,interviewer_only,142,44,3,0.6818181818181818,0.3333333333333333,0.4,0.7647058823529411,0.3636363636363636,0.5757575757575757,0.6882352941176471,0.1549826049695166,26,8,6,4,balanced,"TF-IDF max_features=50000, min_df=2, ngram_range=(1, 2)"
,TF-IDF + LR balanced,participant_only,143,46,0,0.782608695652174,0.0,0.0,1.0,0.0,0.4390243902439024,0.6722222222222223,0.0,36,0,10,0,balanced,"TF-IDF max_features=50000, min_df=2, ngram_range=(1, 2)"
train_dev,TF-IDF + Linear SVM balanced,full_dialogue,143,46,0,0.782608695652174,0.5,0.2,0.9444444444444444,0.2857142857142857,0.5787545787545787,0.7055555555555556,0.2114450158055155,34,2,8,2,balanced,"TF-IDF + LinearSVC max_features=50000, min_df=2, ngram_range=(1, 2)"
train_dev,TF-IDF + Linear SVM balanced,interviewer_cleaned,142,44,3,0.75,0.4285714285714285,0.3,0.8823529411764706,0.3529411764705882,0.5990057995028998,0.711764705882353,0.2089307431106329,30,4,7,3,balanced,"TF-IDF + LinearSVC max_features=50000, min_df=2, ngram_range=(1, 2)"
train_dev,TF-IDF + Linear SVM balanced,interviewer_only,142,44,3,0.7045454545454546,0.3333333333333333,0.3,0.8235294117647058,0.3157894736842105,0.5636918382913807,0.7382352941176471,0.1283377895839496,28,6,7,3,balanced,"TF-IDF + LinearSVC max_features=50000, min_df=2, ngram_range=(1, 2)"
train_dev,TF-IDF + Linear SVM balanced,participant_only,143,46,0,0.782608695652174,0.0,0.0,1.0,0.0,0.4390243902439024,0.6666666666666667,0.0,36,0,10,0,balanced,"TF-IDF + LinearSVC max_features=50000, min_df=2, ngram_range=(1, 2)"
,all-mpnet-base-v2 + LR balanced (CUDA),full_dialogue,143,46,0,0.6521739130434783,0.25,0.3,0.75,0.2727272727272727,0.5220779220779221,0.525,0.0469668218313862,27,9,7,3,balanced,"SentenceTransformer embeddings, batch_size=8, device=cuda"
,all-mpnet-base-v2 + LR balanced (CUDA),interviewer_cleaned,142,44,3,0.6136363636363636,0.2307692307692307,0.3,0.7058823529411765,0.2608695652173913,0.4996655518394649,0.6588235294117647,0.0054030379016468,24,10,7,3,balanced,"SentenceTransformer embeddings, batch_size=8, device=cuda"
,all-mpnet-base-v2 + LR balanced (CUDA),interviewer_only,142,44,3,0.6363636363636364,0.25,0.3,0.7352941176470589,0.2727272727272727,0.5151515151515151,0.65,0.0332105582077535,25,9,7,3,balanced,"SentenceTransformer embeddings, batch_size=8, device=cuda"
,all-mpnet-base-v2 + LR balanced (CUDA),participant_only,143,46,0,0.717391304347826,0.4117647058823529,0.7,0.7222222222222222,0.5185185185185185,0.6592592592592592,0.7055555555555556,0.3608019515340605,26,10,3,7,balanced,"SentenceTransformer embeddings, batch_size=8, device=cuda"
