evaluation,model_short,input_condition,folds,mean_train_rows,mean_test_rows,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,macro_f1_mean,macro_f1_std,auc_mean,auc_std,mcc_mean,mcc_std,class_weight,model_short_label,condition_label,condition_rank,model_rank
5fold_cv,TF-IDF + LR balanced,full_dialogue,5,151.2,37.8,0.8147937411095306,0.0187408058688261,0.6250000000000001,0.1089724735885168,0.4,0.1117170975121678,0.9319540229885058,0.024415481466394,0.4832148243912949,0.1027316346150413,0.6849790651139711,0.0547317937307079,0.8027203065134099,0.0654015244821472,0.3942009819868803,0.1055548499580906,balanced,TF-IDF + LR,C1 Full dialogue,0,0
5fold_cv,TF-IDF + Linear SVM balanced,full_dialogue,5,151.2,37.8,0.783072546230441,0.0114020053640692,0.3533333333333333,0.3279566366999691,0.1361111111111111,0.144471151377176,0.9657471264367816,0.0243884102955608,0.1923809523809523,0.1934763721387283,0.5330897086807761,0.0964163673550537,0.8314750957854408,0.0700556845956,0.1416764301099544,0.1817738217265493,balanced,TF-IDF + SVM,C1 Full dialogue,0,1
5fold_cv,all-mpnet-base-v2 + LR balanced (CUDA),full_dialogue,5,151.2,37.8,0.6825035561877666,0.0493800713828083,0.3479287379287379,0.0829131924725257,0.4972222222222221,0.1393741522700233,0.7349425287356322,0.0415513664314264,0.4081573498964803,0.1024614232608904,0.595336944980095,0.0657081840002982,0.6240613026819923,0.1197415206782622,0.2075959224700345,0.1360329097500813,balanced,MPNet + LR,C1 Full dialogue,0,2
5fold_cv,TF-IDF + LR balanced,participant_only,5,151.2,37.8,0.7778093883357041,0.0135751383679486,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4374837044722909,0.004304871778474,0.7479885057471265,0.1212369994855509,0.0,0.0,balanced,TF-IDF + LR,C2 Participant-only,1,0
5fold_cv,TF-IDF + Linear SVM balanced,participant_only,5,151.2,37.8,0.7778093883357041,0.0135751383679486,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4374837044722909,0.004304871778474,0.7546743295019157,0.1189854641210969,0.0,0.0,balanced,TF-IDF + SVM,C2 Participant-only,1,1
5fold_cv,all-mpnet-base-v2 + LR balanced (CUDA),participant_only,5,151.2,37.8,0.6982930298719772,0.0409236718637722,0.3911838161838162,0.0371540327592751,0.6194444444444445,0.040013500808022,0.7204597701149424,0.0541231646406605,0.4783194349510139,0.0293317707460768,0.6325809024137197,0.0308021380418275,0.7487835249042145,0.0273305422012629,0.2969681211099392,0.0519389549958577,balanced,MPNet + LR,C2 Participant-only,1,2
5fold_cv,TF-IDF + LR balanced,interviewer_only,5,148.8,37.2,0.7963015647226174,0.0921506997557431,0.5698051948051948,0.1893603247844238,0.7388888888888888,0.0421270858002864,0.8135467980295565,0.1102460963120438,0.6334459142508677,0.125288799376087,0.7457105484814464,0.097275240934154,0.851327312534209,0.0669430469359392,0.5146684750364097,0.176249381068327,balanced,TF-IDF + LR,C3 Interviewer-only,2,0
5fold_cv,TF-IDF + Linear SVM balanced,interviewer_only,5,148.8,37.2,0.8334281650071123,0.0394733638319499,0.6205555555555555,0.1001464976304929,0.6638888888888889,0.1104144828575099,0.8822660098522167,0.0298832529814839,0.6402046783625731,0.0994855916976889,0.7658265635352749,0.0615832112034708,0.8787629994526546,0.0599605749159449,0.533563215724666,0.1235767803887528,balanced,TF-IDF + SVM,C3 Interviewer-only,2,1
5fold_cv,all-mpnet-base-v2 + LR balanced (CUDA),interviewer_only,5,148.8,37.2,0.6886201991465148,0.0795353140568473,0.3816630591630591,0.1185421812787291,0.5222222222222221,0.0934795481692435,0.7369458128078817,0.0978176782963549,0.4357682083997873,0.0994021432967315,0.6094713404930123,0.0776501297902479,0.6990558292282432,0.0143904089056058,0.2393211220046215,0.1427177695436898,balanced,MPNet + LR,C3 Interviewer-only,2,2
5fold_cv,TF-IDF + LR balanced,interviewer_cleaned,5,148.8,37.2,0.7155049786628733,0.0725253086725607,0.4289520936579761,0.1019288743316296,0.6194444444444445,0.0970236066476276,0.7438423645320197,0.0979044675583831,0.4998112998112998,0.0772826026858269,0.6495751502166597,0.0657934918678001,0.814696223316913,0.0736242253865975,0.3287861502300062,0.1171664058408483,balanced,TF-IDF + LR,C4 Interviewer-cleaned,3,0
5fold_cv,TF-IDF + Linear SVM balanced,interviewer_cleaned,5,148.8,37.2,0.8442389758179232,0.0744900382974797,0.6862337662337663,0.2352148477981905,0.6416666666666666,0.1547847968417225,0.9032019704433498,0.074502808962343,0.6540601503759398,0.1702971003276631,0.7765379783607044,0.1082283310104363,0.8592775041050903,0.0870750522960135,0.561732977647787,0.2207443308844104,balanced,TF-IDF + SVM,C4 Interviewer-cleaned,3,1
5fold_cv,all-mpnet-base-v2 + LR balanced (CUDA),interviewer_cleaned,5,148.8,37.2,0.6884779516358464,0.0459065136930438,0.3884204031262855,0.0486780566002501,0.6194444444444445,0.040013500808022,0.7088669950738915,0.0694126951994175,0.474502309284918,0.0276081072078438,0.6259692045458586,0.0338511557673116,0.6769567597153803,0.0354603735013732,0.2878761700765485,0.045441325530764,balanced,MPNet + LR,C4 Interviewer-cleaned,3,2
