model,model_short,input_condition,condition_label,evaluation,fold,cv_folds,threshold_metric,threshold,train_rows,test_rows,train_metric_at_threshold,class_weight,n,positive_n,negative_n,accuracy,precision,recall,sensitivity,specificity,f1,macro_f1,auc,mcc,tn,fp,fn,tp
tfidf_logistic_regression,TF-IDF + LR,full_dialogue,C1 Full dialogue,5fold_cv_threshold_tuned,1,5,mcc,0.5348629866263048,151,38,0.9813897101181381,balanced,38,8,30,0.7894736842105263,0.5,0.125,0.125,0.9666666666666667,0.2,0.5393939393939394,0.7,0.16735967034880075,29,1,7,1
tfidf_logistic_regression,TF-IDF + LR,full_dialogue,C1 Full dialogue,5fold_cv_threshold_tuned,2,5,mcc,0.5257337607552812,151,38,1.0,balanced,38,8,30,0.7894736842105263,0.0,0.0,0.0,1.0,0.0,0.4411764705882353,0.8500000000000001,0.0,30,0,8,0
tfidf_logistic_regression,TF-IDF + LR,full_dialogue,C1 Full dialogue,5fold_cv_threshold_tuned,3,5,mcc,0.5418157371522248,151,38,1.0,balanced,38,9,29,0.7368421052631579,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.9310344827586207,0.16666666666666666,0.5052083333333334,0.8582375478927203,0.0664473678268354,27,2,8,1
tfidf_logistic_regression,TF-IDF + LR,full_dialogue,C1 Full dialogue,5fold_cv_threshold_tuned,4,5,mcc,0.5401001586714833,151,38,1.0,balanced,38,9,29,0.7894736842105263,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.9655172413793104,0.3333333333333333,0.6041666666666666,0.7777777777777778,0.2959928203195395,28,1,7,2
tfidf_logistic_regression,TF-IDF + LR,full_dialogue,C1 Full dialogue,5fold_cv_threshold_tuned,5,5,mcc,0.5493446126487934,152,37,1.0,balanced,37,8,29,0.7567567567567568,0.0,0.0,0.0,0.9655172413793104,0.0,0.4307692307692308,0.8275862068965518,-0.0875376219064817,28,1,8,0
tfidf_linear_svm,TF-IDF + SVM,full_dialogue,C1 Full dialogue,5fold_cv_threshold_tuned,1,5,mcc,0.1533951248385995,151,38,1.0,balanced,38,8,30,0.7894736842105263,0.0,0.0,0.0,1.0,0.0,0.4411764705882353,0.7208333333333333,0.0,30,0,8,0
tfidf_linear_svm,TF-IDF + SVM,full_dialogue,C1 Full dialogue,5fold_cv_threshold_tuned,2,5,mcc,0.10520281691152295,151,38,1.0,balanced,38,8,30,0.7894736842105263,0.0,0.0,0.0,1.0,0.0,0.4411764705882353,0.8541666666666667,0.0,30,0,8,0
tfidf_linear_svm,TF-IDF + SVM,full_dialogue,C1 Full dialogue,5fold_cv_threshold_tuned,3,5,mcc,0.14388494845349986,151,38,1.0,balanced,38,9,29,0.7631578947368421,0.5,0.1111111111111111,0.1111111111111111,0.9655172413793104,0.18181818181818182,0.5216783216783217,0.8773946360153256,0.14589603651080282,28,1,8,1
tfidf_linear_svm,TF-IDF + SVM,full_dialogue,C1 Full dialogue,5fold_cv_threshold_tuned,4,5,mcc,0.13629696448972511,151,38,1.0,balanced,38,9,29,0.7368421052631579,0.0,0.0,0.0,0.9655172413793104,0.0,0.42424242424242425,0.8084291187739464,-0.09158437663089954,28,1,9,0
tfidf_linear_svm,TF-IDF + SVM,full_dialogue,C1 Full dialogue,5fold_cv_threshold_tuned,5,5,mcc,0.15648870276945537,152,37,1.0,balanced,37,8,29,0.7837837837837838,0.0,0.0,0.0,1.0,0.0,0.4393939393939394,0.896551724137931,0.0,29,0,8,0
tfidf_logistic_regression,TF-IDF + LR,participant_only,C2 Participant-only,5fold_cv_threshold_tuned,1,5,mcc,0.5036366887227315,151,38,1.0,balanced,38,8,30,0.7894736842105263,0.0,0.0,0.0,1.0,0.0,0.4411764705882353,0.6125,0.0,30,0,8,0
tfidf_logistic_regression,TF-IDF + LR,participant_only,C2 Participant-only,5fold_cv_threshold_tuned,2,5,mcc,0.5109568757905671,151,38,1.0,balanced,38,8,30,0.7894736842105263,0.0,0.0,0.0,1.0,0.0,0.4411764705882353,0.6375,0.0,30,0,8,0
tfidf_logistic_regression,TF-IDF + LR,participant_only,C2 Participant-only,5fold_cv_threshold_tuned,3,5,mcc,0.505055997221797,151,38,1.0,balanced,38,9,29,0.7631578947368421,0.0,0.0,0.0,1.0,0.0,0.43283582089552236,0.8965517241379309,0.0,29,0,9,0
tfidf_logistic_regression,TF-IDF + LR,participant_only,C2 Participant-only,5fold_cv_threshold_tuned,4,5,mcc,0.5128327138754595,151,38,1.0,balanced,38,9,29,0.7631578947368421,0.0,0.0,0.0,1.0,0.0,0.43283582089552236,0.7701149425287356,0.0,29,0,9,0
tfidf_logistic_regression,TF-IDF + LR,participant_only,C2 Participant-only,5fold_cv_threshold_tuned,5,5,mcc,0.5141720575315907,152,37,1.0,balanced,37,8,29,0.7837837837837838,0.0,0.0,0.0,1.0,0.0,0.4393939393939394,0.8232758620689655,0.0,29,0,8,0
tfidf_linear_svm,TF-IDF + SVM,participant_only,C2 Participant-only,5fold_cv_threshold_tuned,1,5,mcc,0.028622155657076542,151,38,1.0,balanced,38,8,30,0.7894736842105263,0.0,0.0,0.0,1.0,0.0,0.4411764705882353,0.6291666666666667,0.0,30,0,8,0
tfidf_linear_svm,TF-IDF + SVM,participant_only,C2 Participant-only,5fold_cv_threshold_tuned,2,5,mcc,0.04891673665564439,151,38,1.0,balanced,38,8,30,0.7894736842105263,0.0,0.0,0.0,1.0,0.0,0.4411764705882353,0.6375000000000001,0.0,30,0,8,0
tfidf_linear_svm,TF-IDF + SVM,participant_only,C2 Participant-only,5fold_cv_threshold_tuned,3,5,mcc,0.029296497178960768,151,38,1.0,balanced,38,9,29,0.7631578947368421,0.0,0.0,0.0,1.0,0.0,0.43283582089552236,0.896551724137931,0.0,29,0,9,0
tfidf_linear_svm,TF-IDF + SVM,participant_only,C2 Participant-only,5fold_cv_threshold_tuned,4,5,mcc,0.052827875913282474,151,38,1.0,balanced,38,9,29,0.7631578947368421,0.0,0.0,0.0,1.0,0.0,0.43283582089552236,0.7739463601532567,0.0,29,0,9,0
tfidf_linear_svm,TF-IDF + SVM,participant_only,C2 Participant-only,5fold_cv_threshold_tuned,5,5,mcc,0.05505790523423443,152,37,1.0,balanced,37,8,29,0.7837837837837838,0.0,0.0,0.0,1.0,0.0,0.4393939393939394,0.8362068965517242,0.0,29,0,8,0
tfidf_logistic_regression,TF-IDF + LR,interviewer_only,C3 Interviewer-only,5fold_cv_threshold_tuned,1,5,mcc,0.5876871823881089,148,38,0.7614454295689773,balanced,38,9,29,0.8157894736842105,0.625,0.5555555555555556,0.5555555555555556,0.896551724137931,0.5882352941176471,0.7347956131605184,0.8390804597701149,0.47147224646062774,26,3,4,5
tfidf_logistic_regression,TF-IDF + LR,interviewer_only,C3 Interviewer-only,5fold_cv_threshold_tuned,2,5,mcc,0.6049072455068703,149,37,0.8257881061173826,balanced,37,8,29,0.7837837837837838,0.5,0.375,0.375,0.896551724137931,0.42857142857142855,0.6476190476190476,0.8017241379310345,0.30327742561131754,26,3,5,3
tfidf_logistic_regression,TF-IDF + LR,interviewer_only,C3 Interviewer-only,5fold_cv_threshold_tuned,3,5,mcc,0.6028851528785164,149,37,0.8034218252395013,balanced,37,8,29,0.7567567567567568,0.42857142857142855,0.375,0.375,0.8620689655172413,0.4,0.623728813559322,0.7887931034482758,0.24917762935063276,25,4,5,3
tfidf_logistic_regression,TF-IDF + LR,interviewer_only,C3 Interviewer-only,5fold_cv_threshold_tuned,4,5,mcc,0.5485413449311354,149,37,0.7676539917716395,balanced,37,8,29,0.8378378378378378,0.625,0.625,0.625,0.896551724137931,0.625,0.7607758620689655,0.8706896551724137,0.521551724137931,26,3,3,5
tfidf_logistic_regression,TF-IDF + LR,interviewer_only,C3 Interviewer-only,5fold_cv_threshold_tuned,5,5,mcc,0.5837153907397985,149,37,0.8204504125029142,balanced,37,9,28,0.8648648648648649,0.8333333333333334,0.5555555555555556,0.5555555555555556,0.9642857142857143,0.6666666666666666,0.7909604519774012,0.9563492063492064,0.6050824450587818,27,1,4,5
tfidf_linear_svm,TF-IDF + SVM,interviewer_only,C3 Interviewer-only,5fold_cv_threshold_tuned,1,5,mcc,0.19031922138696528,148,38,1.0,balanced,38,9,29,0.8421052631578947,0.8,0.4444444444444444,0.4444444444444444,0.9655172413793104,0.5714285714285714,0.7373271889400921,0.9195402298850575,0.5156102614533682,28,1,5,4
tfidf_linear_svm,TF-IDF + SVM,interviewer_only,C3 Interviewer-only,5fold_cv_threshold_tuned,2,5,mcc,0.18336418264095905,149,37,1.0,balanced,37,8,29,0.8108108108108109,0.5714285714285714,0.5,0.5,0.896551724137931,0.5333333333333333,0.7073446327683616,0.814655172413793,0.41680621636833115,26,3,4,4
tfidf_linear_svm,TF-IDF + SVM,interviewer_only,C3 Interviewer-only,5fold_cv_threshold_tuned,3,5,mcc,0.21365917445625573,149,37,1.0,balanced,37,8,29,0.8108108108108109,0.6,0.375,0.375,0.9310344827586207,0.46153846153846156,0.6733921815889029,0.8189655172413793,0.3685143168509711,27,2,5,3
tfidf_linear_svm,TF-IDF + SVM,interviewer_only,C3 Interviewer-only,5fold_cv_threshold_tuned,4,5,mcc,0.19313297727311393,149,37,1.0,balanced,37,8,29,0.8648648648648649,0.8,0.5,0.5,0.9655172413793104,0.6153846153846154,0.7667087011349307,0.8922413793103449,0.5605569890127448,28,1,4,4
tfidf_linear_svm,TF-IDF + SVM,interviewer_only,C3 Interviewer-only,5fold_cv_threshold_tuned,5,5,mcc,0.16795747500556393,149,37,1.0,balanced,37,9,28,0.8378378378378378,0.8,0.4444444444444444,0.4444444444444444,0.9642857142857143,0.5714285714285714,0.7357142857142858,0.9484126984126985,0.5129522781726773,27,1,5,4
tfidf_logistic_regression,TF-IDF + LR,interviewer_cleaned,C4 Interviewer-cleaned,5fold_cv_threshold_tuned,1,5,mcc,0.5433387851011744,148,38,0.7493573812162129,balanced,38,9,29,0.7631578947368421,0.5,0.6666666666666666,0.6666666666666666,0.7931034482758621,0.5714285714285714,0.7038961038961038,0.8045977011494252,0.42051713353118003,23,6,3,6
tfidf_logistic_regression,TF-IDF + LR,interviewer_cleaned,C4 Interviewer-cleaned,5fold_cv_threshold_tuned,2,5,mcc,0.5936049921031328,149,37,0.8058608842138215,balanced,37,8,29,0.8648648648648649,0.8,0.5,0.5,0.9655172413793104,0.6153846153846154,0.7667087011349307,0.814655172413793,0.5605569890127448,28,1,4,4
tfidf_logistic_regression,TF-IDF + LR,interviewer_cleaned,C4 Interviewer-cleaned,5fold_cv_threshold_tuned,3,5,mcc,0.5582253174150056,149,37,0.8028236026628797,balanced,37,8,29,0.7297297297297297,0.375,0.375,0.375,0.8275862068965517,0.375,0.6012931034482758,0.6982758620689655,0.2025862068965517,24,5,5,3
tfidf_logistic_regression,TF-IDF + LR,interviewer_cleaned,C4 Interviewer-cleaned,5fold_cv_threshold_tuned,4,5,mcc,0.5283708927454064,149,37,0.7239212004305084,balanced,37,8,29,0.7837837837837838,0.5,0.375,0.375,0.896551724137931,0.42857142857142855,0.6476190476190476,0.875,0.30327742561131754,26,3,5,3
tfidf_logistic_regression,TF-IDF + LR,interviewer_cleaned,C4 Interviewer-cleaned,5fold_cv_threshold_tuned,5,5,mcc,0.5554607289981983,149,37,0.7992098772498255,balanced,37,9,28,0.8648648648648649,0.8333333333333334,0.5555555555555556,0.5555555555555556,0.9642857142857143,0.6666666666666666,0.7909604519774012,0.8809523809523809,0.6050824450587818,27,1,4,5
tfidf_linear_svm,TF-IDF + SVM,interviewer_cleaned,C4 Interviewer-cleaned,5fold_cv_threshold_tuned,1,5,mcc,0.1970825465732616,148,38,1.0,balanced,38,9,29,0.8421052631578947,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.703125,0.8850574712643677,0.5255382728122435,29,0,6,3
tfidf_linear_svm,TF-IDF + SVM,interviewer_cleaned,C4 Interviewer-cleaned,5fold_cv_threshold_tuned,2,5,mcc,0.13925254191516967,149,37,1.0,balanced,37,8,29,0.8648648648648649,0.6666666666666666,0.75,0.75,0.896551724137931,0.7058823529411765,0.8090815273477812,0.8103448275862069,0.6203645837318315,26,3,2,6
tfidf_linear_svm,TF-IDF + SVM,interviewer_cleaned,C4 Interviewer-cleaned,5fold_cv_threshold_tuned,3,5,mcc,0.2508208070206557,149,37,1.0,balanced,37,8,29,0.8108108108108109,0.6,0.375,0.375,0.9310344827586207,0.46153846153846156,0.6733921815889029,0.7327586206896552,0.3685143168509711,27,2,5,3
tfidf_linear_svm,TF-IDF + SVM,interviewer_cleaned,C4 Interviewer-cleaned,5fold_cv_threshold_tuned,4,5,mcc,0.2096410597662809,149,37,1.0,balanced,37,8,29,0.8648648648648649,1.0,0.375,0.375,1.0,0.5454545454545454,0.7330447330447329,0.939655172413793,0.5655554271479238,29,0,5,3
tfidf_linear_svm,TF-IDF + SVM,interviewer_cleaned,C4 Interviewer-cleaned,5fold_cv_threshold_tuned,5,5,mcc,0.1746581968200312,149,37,1.0,balanced,37,9,28,0.8108108108108109,0.75,0.3333333333333333,0.3333333333333333,0.9642857142857143,0.46153846153846156,0.6733921815889029,0.9285714285714285,0.41121980934985564,27,1,6,3
