Model,Input condition,Accuracy,F1,Macro-F1,AUC,MCC
TF-IDF + LR,C1 Full dialogue,0.815 +/- 0.019,0.483 +/- 0.103,0.685 +/- 0.055,0.803 +/- 0.065,0.394 +/- 0.106
TF-IDF + LR,C2 Participant-only,0.778 +/- 0.014,0.000 +/- 0.000,0.437 +/- 0.004,0.748 +/- 0.121,0.000 +/- 0.000
TF-IDF + LR,C3 Interviewer-only,0.796 +/- 0.092,0.633 +/- 0.125,0.746 +/- 0.097,0.851 +/- 0.067,0.515 +/- 0.176
TF-IDF + LR,C4 Interviewer-cleaned,0.716 +/- 0.073,0.500 +/- 0.077,0.650 +/- 0.066,0.815 +/- 0.074,0.329 +/- 0.117
TF-IDF + SVM,C1 Full dialogue,0.783 +/- 0.011,0.192 +/- 0.193,0.533 +/- 0.096,0.831 +/- 0.070,0.142 +/- 0.182
TF-IDF + SVM,C2 Participant-only,0.778 +/- 0.014,0.000 +/- 0.000,0.437 +/- 0.004,0.755 +/- 0.119,0.000 +/- 0.000
TF-IDF + SVM,C3 Interviewer-only,0.833 +/- 0.039,0.640 +/- 0.099,0.766 +/- 0.062,0.879 +/- 0.060,0.534 +/- 0.124
TF-IDF + SVM,C4 Interviewer-cleaned,0.844 +/- 0.074,0.654 +/- 0.170,0.777 +/- 0.108,0.859 +/- 0.087,0.562 +/- 0.221
MPNet + LR,C1 Full dialogue,0.683 +/- 0.049,0.408 +/- 0.102,0.595 +/- 0.066,0.624 +/- 0.120,0.208 +/- 0.136
MPNet + LR,C2 Participant-only,0.698 +/- 0.041,0.478 +/- 0.029,0.633 +/- 0.031,0.749 +/- 0.027,0.297 +/- 0.052
MPNet + LR,C3 Interviewer-only,0.689 +/- 0.080,0.436 +/- 0.099,0.609 +/- 0.078,0.699 +/- 0.014,0.239 +/- 0.143
MPNet + LR,C4 Interviewer-cleaned,0.688 +/- 0.046,0.475 +/- 0.028,0.626 +/- 0.034,0.677 +/- 0.035,0.288 +/- 0.045
