evaluation,model,model_short,input_condition,condition_label,folds,mean_train_rows,mean_test_rows,threshold_metric,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,macro_f1_mean,macro_f1_std,auc_mean,auc_std,mcc_mean,mcc_std,threshold_mean,threshold_std,tp_mean,tp_std,tp_sum,fp_mean,fp_std,fp_sum,fn_mean,fn_std,fn_sum,tn_mean,tn_std,tn_sum
nested_threshold,tfidf_logistic_regression,TF-IDF + LR,full_dialogue,C1 Full dialogue,5,151.2,37.8,mcc,0.730298719772404,0.056231414344935546,0.42543077837195487,0.08306241529265819,0.6888888888888889,0.33830208759204516,0.49575964775964776,0.1820521847952019,0.6508499965642823,0.08557696502846278,0.8027203065134099,0.0654015244821472,0.37510901789645373,0.18086205711031647,0.4502175850212738,0.04134708203849747,5.8,2.7748873851023217,29,7.6,3.9749213828703582,38,2.6,2.701851217221259,13,21.8,4.147288270665545,109
nested_threshold,tfidf_logistic_regression,TF-IDF + LR,participant_only,C2 Participant-only,5,151.2,37.8,mcc,0.7406827880512091,0.06832805537655197,0.4746428571428572,0.17256136146132992,0.4583333333333333,0.25,0.42324009324009326,0.10552322943237318,0.6255431969366395,0.05933098519811851,0.7479885057471265,0.1212369994855509,0.29459959153725473,0.1431877413282413,0.445874863789379,0.014505893978669821,3.8,1.9235384061671346,19,5.2,4.024922359499621,26,4.6,2.1908902300206643,23,24.2,3.8987177379235853,121
nested_threshold,tfidf_logistic_regression,TF-IDF + LR,interviewer_only,C3 Interviewer-only,5,148.8,37.2,mcc,0.7799431009957326,0.1040154222595945,0.5532902554961379,0.1981860403630905,0.736111111111111,0.06364688465216445,0.6166687306501547,0.12817156786689682,0.7299639932528035,0.10374498532081002,0.851327312534209,0.06694304693593923,0.49392943762904123,0.17542322231456906,0.4994017538976031,0.04616355354987783,6.2,0.8366600265340756,31,6.0,4.0,30,2.2,0.44721359549995787,11,22.8,3.7013511046643495,114
nested_threshold,tfidf_logistic_regression,TF-IDF + LR,interviewer_cleaned,C4 Interviewer-cleaned,5,148.8,37.2,mcc,0.8174964438122334,0.04642589168901608,0.680952380952381,0.22499685057004667,0.49444444444444446,0.12445870454011028,0.5490909090909091,0.08530753109655938,0.7165729938611294,0.05197433262373968,0.814696223316913,0.07362422538659759,0.46224772954350685,0.12262969423853011,0.570685692552587,0.0264009705495767,4.2,1.3038404810405297,21,2.6,2.302172886644268,13,4.2,0.8366600265340756,21,26.2,2.16794833886788,131
nested_threshold,tfidf_linear_svm,TF-IDF + SVM,full_dialogue,C1 Full dialogue,5,151.2,37.8,mcc,0.7827880512091039,0.04893500443053103,0.5154112554112553,0.0801354712119987,0.6861111111111111,0.1744700971938023,0.5777876509455456,0.10145322463542221,0.714534073736111,0.059774868795824165,0.8314750957854408,0.0700556845956,0.4541337325731264,0.1125279667736882,-0.28375993100738156,0.07894810224429778,5.8,1.6431676725154984,29,5.6,2.3021728866442674,28,2.6,1.3416407864998738,13,23.8,2.6832815729997477,119
nested_threshold,tfidf_linear_svm,TF-IDF + SVM,participant_only,C2 Participant-only,5,151.2,37.8,mcc,0.7135135135135136,0.10144975383245129,0.45746753246753247,0.19930675518279442,0.4805555555555555,0.2240807697193686,0.4237989203778677,0.0760195638957285,0.6116176951703268,0.06604272824952738,0.7546743295019157,0.11898546412109698,0.278732861644691,0.12812429763739508,-0.329227129325619,0.0746535286617895,4.0,1.7320508075688772,20,6.4,5.458937625582473,32,4.4,1.9493588689617927,22,23.0,5.477225575051661,115
nested_threshold,tfidf_linear_svm,TF-IDF + SVM,interviewer_only,C3 Interviewer-only,5,148.8,37.2,mcc,0.8169274537695591,0.08251827013542484,0.6564346764346765,0.2432534208789187,0.7305555555555555,0.22472548411312088,0.6398017441495701,0.12936989280734956,0.7568377852048169,0.08857719692908549,0.8787629994526546,0.05996057491594494,0.5617061394588097,0.15928691209437007,-0.09256188287256986,0.21654237899665205,6.2,2.16794833886788,31,4.6,3.6469165057620936,23,2.2,1.7888543819998317,11,24.2,3.492849839314596,121
nested_threshold,tfidf_linear_svm,TF-IDF + SVM,interviewer_cleaned,C4 Interviewer-cleaned,5,148.8,37.2,mcc,0.833570412517781,0.07411218167346952,0.6705627705627706,0.23711130815618792,0.6194444444444445,0.15823583742917904,0.6310776942355889,0.16335162070356843,0.7614637132121521,0.10445340950881196,0.8592775041050903,0.08707505229601355,0.535084643799993,0.21420905887614544,0.010462582374896631,0.04920721951855984,5.2,1.3038404810405297,26,3.0,2.345207879911715,15,3.2,1.3038404810405297,16,25.8,2.16794833886788,129
oracle_test_threshold,tfidf_logistic_regression,TF-IDF + LR,full_dialogue,C1 Full dialogue,5,151.2,37.8,mcc,0.7881934566145092,0.08167844135172407,0.5836414565826331,0.16419173166261797,0.7722222222222221,0.2360293976249778,0.6192972085385878,0.05425371644204242,0.7332546083351807,0.0588971450087616,0.8027203065134099,0.0654015244821472,0.5368119414610076,0.0463751074228265,0.4538020036652342,0.04241235627945733,6.4,1.6733200530681511,32,6.0,4.898979485566356,30,2.0,2.1213203435596424,10,23.4,4.6690470119715,117
oracle_test_threshold,tfidf_logistic_regression,TF-IDF + LR,participant_only,C2 Participant-only,5,151.2,37.8,mcc,0.8357041251778095,0.04080173402350916,0.732034632034632,0.19667453266184445,0.5638888888888889,0.2958691944878912,0.5700000000000001,0.17691105296492082,0.7323742923742924,0.09094485689927186,0.7479885057471265,0.1212369994855509,0.5229942454278492,0.13942167568092295,0.4498413355183734,0.010448255608003349,4.8,2.588435821108957,24,2.6,2.8809720581775866,13,3.6,2.3021728866442674,18,26.8,3.271085446759225,134
